instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n150_p0.25_nA30_nB45_i1,byp_p1,0,150,2822,30,45,-1,-1,OPTIMAL_RELAX,root relaxation optimal,900.0,1,1,1.91186,3.0,0.362715,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,150,3095,30,45,1.91186,3.0,0.000891929,0.0,902.018,298,0,0,0,0,298,297,0,0,0,0,297,901.937,3.7173e-05,0.0,0.0,0.0,901.937,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i0,byp_p1,0,150,5548,30,30,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,900.0,0,0,3.50245,7.0,1.79769e+306,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,149,5660,30,30,3.50245,7.0,0.00154294,0.0,921.502,232,0,0,0,0,232,232,0,0,0,0,232,921.427,3.7009e-05,0.0,0.0,0.0,921.427,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.25_nA30_nB45_i0,byp_p1,0,150,2747,30,45,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,900.0,0,0,1.891,3.0,1.79769e+306,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,149,2983,30,45,1.891,3.0,0.000896483,0.0,902.411,290,0,0,0,0,290,290,0,0,0,0,290,902.331,3.7929e-05,0.0,0.0,0.0,902.331,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB45_i0,byp_p1,0,150,5548,30,45,-1,-1,OPTIMAL_RELAX,root relaxation optimal,786.334,1,1,3.4175,6.0,0.430416,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,148,5580,30,45,3.4175,6.0,0.00156191,0.0,786.33,216,0,0,0,0,216,215,0,0,0,0,215,786.266,2.6508e-05,0.0,0.0,0.0,786.266,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.25_nA45_nB45_i2,byp_p1,0,150,2800,45,45,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,900.0,0,0,2.90828,6.0,1.79769e+306,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,148,2869,45,45,2.90828,6.0,0.00140459,0.0,904.547,482,0,0,0,0,482,482,0,0,0,0,482,904.261,6.1414e-05,0.0,0.0,0.0,904.261,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA45_nB45_i2,byp_p1,0,150,5526,45,45,-1,-1,OPTIMAL_RELAX,root relaxation optimal,891.708,1,1,5.51934,9.0,0.38674,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,142,5040,45,45,5.51934,9.0,0.00250849,0.0,891.703,422,0,0,0,0,422,421,0,0,0,0,421,891.472,5.5538e-05,0.0,0.0,0.0,891.472,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA45_nB45_i0,byp_p1,0,150,8394,45,45,-1,-1,OPTIMAL_RELAX,root relaxation optimal,487.791,1,1,9.85557,-1.0,-1.0,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,1,149,8335,45,45,9.85557,-1.0,0.000965579,0.0,487.788,340,0,0,0,0,340,339,0,0,0,0,339,487.652,4.8335e-05,0.0,0.0,0.0,487.652,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i1,byp_p1,0,150,5562,30,30,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,900.0,0,0,3.69565,6.0,1.79769e+306,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,148,5585,30,30,3.69565,6.0,0.00157658,0.0,917.526,246,0,0,0,0,246,246,0,0,0,0,246,917.447,3.5465e-05,0.0,0.0,0.0,917.447,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB45_i2,byp_p1,0,150,5525,30,45,-1,-1,OPTIMAL_RELAX,root relaxation optimal,665.633,1,1,3.26947,6.0,0.455089,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,150,5705,30,45,3.26947,6.0,0.00162469,0.0,665.629,197,0,0,0,0,197,196,0,0,0,0,196,665.573,2.4959e-05,0.0,0.0,0.0,665.573,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA45_nB30_i1,byp_p1,0,150,8353,45,30,-1,-1,OPTIMAL_RELAX,root relaxation optimal,34.6991,1,1,14.75,16.0,0.078125,-1.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,94,3307,43,30,14.75,16.0,0.00192921,0.0,34.6917,219,0,0,0,0,219,218,0,0,0,0,218,34.6429,1.7706e-05,0.0,0.0,0.0,34.6429,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
