instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
K7,feas-ilp_,0,252,30996,42,7,-1,-1,INFEASIBLE,infeasibility proven,0.860162,0,0,41.9367,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K4,feas-enum_,0,36,594,12,4,-1,-1,INFEASIBLE,infeasibility proven,0.000532839,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K6,byp_,0,150,10875,30,6,-1,-1,INFEASIBLE,infeasibility proven,29.1087,3,0,-1.0,-2147483648.0,-1.0,0,1,0,0,2.0,0,0,2,0.0,0,0,0,0,0,0,3,3,6.0,-1.0,28.1366,0.0,703,0,700,1,1,1,30,0,30,0,0,0,0.270304,5.11e-07,0.0626092,0.00023918,0.00079289,0.206663,0.000476377,0,0.0,104,1,100,1,1,1,0,0,0,0,0,0,0.331737,1.755e-07,0.00749641,0.000123387,0.000641614,0.323476
K7,byp_,0,252,30996,42,7,-1,-1,INFEASIBLE,infeasibility proven,116.078,3,0,-1.0,-2147483648.0,-1.0,0,1,0,0,2.0,0,0,2,0.0,0,0,0,0,0,0,3,3,7.0,-1.0,111.992,0.0,803,0,800,1,1,1,42,0,42,0,0,0,0.878543,5.49e-07,0.22327,0.000571327,0.00234681,0.652354,0.00113241,0,0.0,104,1,100,1,1,1,0,0,0,0,0,0,1.53696,1.885e-07,0.0203076,0.000378552,0.00200192,1.51427
K4,byp_,0,36,594,12,4,-1,-1,INFEASIBLE,infeasibility proven,0.585896,3,0,-1.0,-2147483648.0,-1.0,0,1,0,0,2.0,0,0,2,0.0,0,0,0,0,0,0,3,3,4.0,-1.0,0.560362,0.0,503,0,500,1,1,1,12,0,12,0,0,0,0.0105004,3.66e-07,0.00184155,4.4124e-05,5.8517e-05,0.00855589,4.4303e-05,0,0.0,104,1,100,1,1,1,0,0,0,0,0,0,0.00539126,2.63e-07,0.000314588,1.43025e-05,4.0471e-05,0.00502164
K4,feas-ilp_,0,36,594,12,4,-1,-1,INFEASIBLE,infeasibility proven,0.0141999,0,0,11.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K5,feas-enum_,0,80,3040,20,5,-1,-1,INFEASIBLE,infeasibility proven,0.00675961,0,0,17.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K7,feas-enum_,0,252,30996,42,7,-1,-1,INFEASIBLE,infeasibility proven,38.7465,0,0,37.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K5,feas-ilp_,0,80,3040,20,5,-1,-1,INFEASIBLE,infeasibility proven,0.146445,0,0,19.5245,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K6,feas-ilp_,0,150,10875,30,6,-1,-1,INFEASIBLE,infeasibility proven,0.693241,0,0,29.4348,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
K5,byp_,0,80,3040,20,5,-1,-1,INFEASIBLE,infeasibility proven,5.26244,3,0,-1.0,-2147483648.0,-1.0,0,1,0,0,2.0,0,0,2,0.0,0,0,0,0,0,0,3,3,5.0,-1.0,5.00043,0.0,603,0,600,1,1,1,20,0,20,0,0,0,0.10974,4e-07,0.0120219,0.000153165,0.000251456,0.0973132,0.000160891,0,0.0,104,1,100,1,1,1,0,0,0,0,0,0,0.0708506,1.32e-07,0.00171035,4.1412e-05,0.000178017,0.0689207
K6,feas-enum_,0,150,10875,30,6,-1,-1,INFEASIBLE,infeasibility proven,0.256534,0,0,26.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
