instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n110_p0.75_nA33_nB22_i0,byp_,0,110,4478,33,22,-1,-1,INFEASIBLE,infeasibility proven,0.00120514,1,0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,94,3288,32,22,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB33_i0,byp_,0,110,1448,22,33,-1,-1,OPTIMAL,optimality proven,8.08318,1,0,2.0,2.0,0.0,2.0,0.00206629,7,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,110,1656,22,33,1.56547,3.0,0.000432557,0.0,8.07913,61025,0,61000,16,6,3,331,0,309,17,3,2,8.0559,7.562e-06,3.84606,0.172201,0.0843358,3.95329,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.5_nA22_nB22_i1,byp_,0,110,2985,22,22,-1,-1,OPTIMAL,optimality proven,730.559,97,0,4.0,4.0,0.0,4.0,14.9302,40000,0,97,0,0,0.0,0,0,0,0.0,1,1,0,0,0,97,0,97,108,2994,22,22,2.80568,7.0,0.000668231,0.0,25.5277,49031,0,49000,15,8,8,276,0,261,8,0,7,25.5109,4.641e-06,2.81179,0.105782,0.0822561,22.5111,0.000685013,0,0.0,14310.0,1304.0,12989.0,7.0,4.0,4.0,66.0,30.0,29.0,3.0,0.0,3.0,7.17964,0.000432273,0.763714,0.0350238,0.0310154,6.34946
r_n110_p0.75_nA22_nB22_i2,byp_,0,110,4480,22,22,-1,-1,OPTIMAL,optimality proven,349.349,57,0,6.0,6.0,0.0,6.0,18.4237,40000,0,57,0,0,0.0,0,0,0,0.0,1,1,0,0,0,57,0,57,110,4546,22,22,4.77094,8.0,0.000780545,0.0,23.77,35033,0,35000,17,8,8,150,0,134,9,0,7,23.7584,3.478e-06,1.77095,0.0958389,0.0797075,21.8119,0.000877245,0,0.0,10509.0,675.0,9821.0,6.0,3.0,3.0,44.0,21.0,16.0,4.0,0.0,2.0,5.47631,0.000179056,0.548909,0.0282244,0.0246534,4.87434
r_n110_p0.25_nA22_nB33_i1,byp_,0,110,1486,22,33,-1,-1,OPTIMAL,optimality proven,10.5106,1,0,2.0,2.0,0.0,2.0,3.87059,16511,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,109,1628,22,33,1.56059,3.0,0.00038312,0.0,6.63842,44021,0,44000,15,4,2,259,0,240,16,2,1,6.62128,7.602e-06,2.8471,0.162325,0.0887958,3.52304,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.5_nA33_nB33_i1,byp_,0,110,2983,33,33,-1,-1,OPTIMAL,optimality proven,5879.98,725,0,6.0,6.0,0.0,6.0,29.237,40000,0,725,0,0,0.0,0,0,0,0.0,1,1,0,0,0,725,0,725,106,2854,33,33,4.61614,8.0,0.00103791,0.0,48.0534,97108,0,97000,64,23,21,338,0,255,61,2,20,48.0104,9.159e-06,4.85238,0.25225,0.122936,42.7829,0.00113273,0,0.0,22028.0,2130.0,19866.0,15.0,8.0,7.0,75.0,38.0,18.0,11.0,0.0,6.0,8.001,0.000734803,0.934136,0.0465758,0.0402062,6.97935
r_n110_p0.5_nA22_nB22_i0,byp_,0,110,2963,22,22,-1,-1,INFEASIBLE,infeasibility proven,0.000709059,1,0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,101,2625,21,22,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.5_nA33_nB22_i1,byp_,0,110,3001,33,22,-1,-1,OPTIMAL,optimality proven,2471.87,375,0,6.0,6.0,0.0,7.0,21.3142,40000,1,374,0,0,0.0,0,0,0,0.0,2,1,1,0,0,375,0,375,92,2183,33,22,5.23991,8.0,0.000828046,0.0,32.2545,105107,0,105000,45,31,31,415,0,368,17,0,30,32.2104,6.433e-06,4.10679,0.0961429,0.0850499,27.9224,0.000772076,0,0.0,25900.0,3069.0,22788.0,16.0,12.0,12.0,90.0,47.0,25.0,5.0,0.0,11.0,6.45413,0.00067063,0.644228,0.0180244,0.0350669,5.75614
r_n110_p0.5_nA33_nB22_i0,byp_,0,110,2963,33,22,-1,-1,INFEASIBLE,infeasibility proven,0.000745034,1,0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,98,2394,32,22,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.75_nA22_nB22_i1,byp_,0,110,4498,22,22,-1,-1,OPTIMAL,optimality proven,216.606,47,0,6.0,6.0,0.0,6.0,18.9837,40000,0,47,0,0,0.0,0,0,0,0.0,1,1,0,0,0,47,0,47,107,4320,22,22,4.7634,8.0,0.000962509,0.0,11.5602,25016,0,25000,8,4,4,130,0,122,5,0,3,11.5507,1.826e-06,1.3249,0.0524648,0.0393284,10.134,0.000895588,0,0.0,9541.0,639.0,8891.0,5.0,2.0,2.0,40.0,21.0,13.0,5.0,0.0,1.0,4.03687,0.000166467,0.469525,0.0252959,0.01873,3.52315
