instance,solver,run,nvertices,nedges,n,m,state,terminationReason,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.836,50000,0.967138,542
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,47.9973,50000,0.12512,129
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.0538,50000,0.197446,137
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,65.8871,50000,0.0391836,28
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,8354,45,30,UNKNOWN,unknown,-1,3.03621,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.4985,50000,0.14177,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,43.6678,50000,0.00632055,6
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,72.5827,50000,0.556576,384
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,43.4813,50000,0.00184407,1
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,44.9415,50000,0.0139301,14
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.3172,50000,0.00633721,6
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.8002,50000,1.94224,1131
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.3057,50000,0.227447,123
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.3993,50000,23.2459,29531
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.5811,50000,4.15887,3372
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.8514,50000,9.75634,16904
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.0515,50000,1.92793,3709
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.0945,50000,0.0082295,12
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.1132,50000,0.0469713,38
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,55.0777,50000,2.5748,2328
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,4,29.989,50000,0.00129228,1
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,39.6596,50000,0.014698,17
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,9,51.0931,50000,0.144567,140
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,40.3746,50000,0.297519,368
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.5658,50000,0.527924,440
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.1,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.2522,50000,0.00824743,12
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,61.2938,50000,4.22032,3440
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,50.8156,50000,0.0632647,61
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,5567,45,30,UNKNOWN,unknown,-1,2.33265,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,51.8168,50000,25.2659,24397
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,27.6245,50000,0.281221,509
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,45.1575,50000,3.37769,3742
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.1,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.5381,50000,0.525316,356
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,45.3824,50000,0.0813078,88
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,27.8154,50000,0.0052222,8
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.1,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,6,48.0957,50000,0.00701139,6
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.6842,50000,0.513088,289
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,47.8581,50000,3.12569,3270
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.4393,50000,0.612839,425
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.5477,50000,8.58819,6464
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,8354,45,30,UNKNOWN,unknown,-1,3.08036,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.812,50000,0.142111,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,43.9757,50000,0.0018549,1
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,72.239,50000,0.303364,209
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,44.564,50000,0.000927445,0
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,44.6597,50000,0.00279145,2
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.1192,50000,0.00361325,3
