instance,solver,run,nvertices,nedges,n,m,state,terminationReason,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.7856,50000,3.32138,1932
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.3308,50000,0.269389,148
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.0071,50000,6.02546,7735
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,62.2236,50000,5.58234,4485
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,4,28.9155,50000,0.000649823,0
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.3398,50000,1.9484,3709
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.7077,50000,0.0126489,19
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.203,50000,0.122128,100
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,55.233,50000,52.3201,47358
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.2027,50000,1.43121,2379
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,39.956,50000,0.510134,634
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,51.172,50000,2.68197,2620
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,39.4671,50000,0.150017,189
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.808,50000,1.31177,1097
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.25,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.5586,50000,0.00578936,8
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,61.2711,50000,0.21814,176
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.5123,50000,0.125608,121
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,5567,45,30,UNKNOWN,unknown,-1,2.30437,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,52.1017,50000,25.1931,24183
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.25,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,28.4254,50000,0.388825,685
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,45.5576,50000,0.191649,210
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.25,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.0076,50000,1.94991,1335
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.25,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,46.0258,50000,0.092886,100
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.25,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,28.2088,50000,0.0127255,21
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.25,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,49.2451,50000,11.2236,11394
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.9005,50000,0.77208,432
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,48.4859,50000,12.5913,12985
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.3721,50000,0.543865,375
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.6091,50000,2.55854,1914
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,8354,45,30,UNKNOWN,unknown,-1,3.0178,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.6647,50000,0.0970824,69
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,44.2966,50000,0.00554999,5
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,72.6781,50000,0.360903,248
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,44.5222,50000,0.00187312,1
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,44.9729,50000,0.00284997,2
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.512,50000,0.00269806,2
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.7308,50000,2.61383,1530
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.3888,50000,0.0674575,35
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.1159,50000,2.43257,3118
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.4172,50000,6.9363,5656
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.6839,50000,3.56563,6225
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,25.9766,50000,1.92715,3704
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,31.1917,50000,0.0843052,133
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.2092,50000,0.152637,127
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,54.7777,50000,39.6382,36173
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.0634,50000,6.64701,11048
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,39.6701,50000,0.00912639,10
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,51.2175,50000,40.7008,39720
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,40.0974,50000,0.574817,718
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.9863,50000,3.16078,2629
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.4,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,31.2264,50000,0.0644252,102
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,60.8748,50000,11.2509,9241
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.7182,50000,1.39405,1348
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,5567,45,30,UNKNOWN,unknown,-1,2.31002,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,9,51.9707,50000,0.0130379,11
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.4,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,28.4596,50000,0.916676,1608
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,6,45.1795,50000,0.00649664,6
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.4,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,72.9572,50000,3.92894,2687
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.4,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,46.1457,50000,0.0848705,91
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.4,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,28.1696,50000,0.10332,182
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.4,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,6,48.6315,50000,0.00613123,5
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.7991,50000,0.806581,454
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,48.036,50000,1.36702,1423
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.4584,50000,0.653079,449
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.6701,50000,0.767312,571
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,8354,45,30,UNKNOWN,unknown,-1,3.02849,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.6484,50000,0.141441,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,44.3942,50000,0.00186433,1
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,72.6887,50000,0.328074,225
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,43.9657,50000,0.00457713,4
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,45.1239,50000,0.00286833,2
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.6147,50000,0.000940605,0
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.6331,50000,0.718309,418
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.9142,50000,0.520036,283
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.2284,50000,5.3103,6784
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.8069,50000,6.02951,4880
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.5179,50000,17.6117,30848
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.0682,50000,1.92645,3709
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.6956,50000,0.0094261,14
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.1076,50000,0.28976,241
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,55.0442,50000,6.63103,6021
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.3111,50000,4.63621,7642
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,40.2076,50000,0.00505758,5
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,51.0779,50000,2.68334,2621
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,40.0649,50000,0.135328,167
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.7249,50000,1.00252,836
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.3,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.8196,50000,0.0157495,24
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,60.9449,50000,1.27819,1048
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.559,50000,0.00109967,0
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,5567,45,30,UNKNOWN,unknown,-1,2.30891,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,9,52.0956,50000,0.0253525,23
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,28.123,50000,1.35729,2398
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,44.9719,50000,8.24307,9176
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.3,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.3095,50000,0.173047,117
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,45.59,50000,0.0323205,34
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,27.9594,50000,0.0385327,68
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.3,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,48.7574,50000,18.2899,18752
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.9323,50000,10.0239,5634
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,48.1128,50000,0.49843,517
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.9074,50000,0.837738,576
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.0711,50000,0.378671,285
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,8354,45,30,UNKNOWN,unknown,-1,3.05236,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.464,50000,0.140946,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,44.6671,50000,0.0100826,10
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,72.2977,50000,1.32216,915
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,44.1864,50000,0.00190595,1
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,44.6379,50000,0.00366817,3
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.1756,50000,0.0141671,15
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.8887,50000,1.93534,1130
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,90.6691,50000,0.926081,509
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.0531,50000,12.0271,15373
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.7277,50000,2.12356,1725
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.6999,50000,3.77911,6612
