instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
jean,byp_,0,477,45782,66,80,-1,-1,OPTIMAL,optimality proven,393.552,55,0,2.0,2.0,0.0,4.0,300.02,15570,1,54,0,0,0.0,0,0,0,0.0,2,1,1,0,0,55,0,55,474,45782,63,77,1.55794,-1.0,0.0,0.0,17.038,361719,358000,3440,278,1,0,837,160,175,502,0,0,16.6853,0.0531351,3.46977,12.8507,0.311754,0.0,0.020727,0,0.0,6863.0,6595.0,246.0,20.0,1.0,0.0,90.0,43.0,8.0,38.0,0.0,0.0,1.22923,0.00395839,0.300493,0.668337,0.256441,0.0
queen5_5,byp_,0,345,44656,25,25,-1,-1,OPTIMAL,optimality proven,214.664,1,0,2.0,2.0,0.0,2.0,214.078,40000,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,345,44656,25,25,1.4375,-1.0,0.0,0.0,0.572513,37268,37000,260,7,1,0,179,95,72,12,0,0,0.496355,0.00224429,0.201852,0.185066,0.107193,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen7_7,compact_,0,1001,316252,49,49,4008,1499969,TIME_EXCEEDED,time limit reached in B&P,3600.45,0,0,1.0,4.0,0.75,4.0,300.027,2435,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen5_5,compact_,0,345,44656,25,25,692,98233,OPTIMAL,optimality proven,216.561,0,0,2.0,2.0,0.0,2.0,207.167,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david,byp_,0,791,195799,74,87,-1,-1,OPTIMAL,optimality proven,455.545,5,0,2.0,2.0,0.0,3.0,300.059,2230,1,4,0,0,0.0,0,0,0,0.0,2,1,1,0,0,5,0,5,791,195799,74,87,1.34673,-1.0,0.0,0.0,54.4352,296090,293000,2820,268,2,0,916,144,70,701,1,0,53.3042,0.0588638,24.0339,26.2634,2.94799,0.0,0.15265,0,0.0,96234.0,95096.0,1035.0,102.0,1.0,0.0,211.0,35.0,4.0,171.0,0.0,0.0,23.7476,0.0856242,4.59028,16.9683,2.10336,0.0
myciel3,byp_,0,51,715,11,11,-1,-1,OPTIMAL,optimality proven,1.90958,1,0,2.0,2.0,0.0,2.0,1.90183,40000,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,51,715,11,11,1.5,-1.0,0.0,0.0,0.00721957,16093,16000,90,2,1,0,122,96,24,2,0,0,0.00416104,0.000794867,0.00138782,0.00114369,0.000834659,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huck,gurobi_,0,455,53611,49,74,1824,265997,OPTIMAL,optimality proven,423.357,1,0,2.0,2.0,0.0,4.0,300.005,14762,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen7_7,gurobi_,0,1001,316252,49,49,4008,1499969,MEM_EXCEEDED,memory limit reached in B&P,362.985,1,0,1.0,4.0,0.75,4.0,300.142,2304,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jean,compact_,0,477,45782,66,80,1900,237863,OPTIMAL,optimality proven,549.375,0,0,2.0,2.0,0.0,4.0,300.019,15170,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel3,compact_,0,51,715,11,11,104,1821,OPTIMAL,optimality proven,1.89504,0,0,2.0,2.0,0.0,2.0,1.86135,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david,compact_,0,791,195799,74,87,2376,669959,OPTIMAL,optimality proven,359.258,0,0,2.0,2.0,0.0,3.0,300.08,2165,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel5,gurobi_,0,519,60327,47,47,1560,217736,OPTIMAL,optimality proven,539.127,1,0,2.0,2.0,0.0,3.0,300.01,11417,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen6_6,byp_,0,616,130684,36,36,-1,-1,OPTIMAL,optimality proven,306.113,1,0,2.0,2.0,0.0,2.0,300.032,8864,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,616,130684,36,36,1.49565,-1.0,0.0,0.0,6.03468,79673,79000,650,22,1,0,311,113,147,51,0,0,5.58973,0.00778717,3.45903,1.54295,0.579953,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel4,gurobi_,0,165,6774,23,23,498,26969,OPTIMAL,optimality proven,42.4904,1,0,2.0,2.0,0.0,3.0,35.2561,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
