instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
huck,byp_,0,455,53611,49,74,-1,-1,OPTIMAL,optimality proven,308.194,7,0,2.0,2.0,0.0,4.0,300.006,15679,1,6,0,0,0.0,0,0,0,0.0,2,1,1,0,0,7,0,7,455,53611,49,74,1.57799,-1.0,0.0,0.0,5.90161,155499,154000,1390,108,1,0,506,179,121,206,0,0,5.71548,0.0173722,2.16609,3.29194,0.240073,0.0,0.0185146,0,0.0,689.0,667.0,20.0,1.0,1.0,0.0,18.0,15.0,2.0,0.0,0.0,0.0,0.231217,0.00036669,0.0202683,0.00368561,0.206897,0.0
david,gurobi_,0,791,195799,74,87,2376,669959,OPTIMAL,optimality proven,630.462,1,0,2.0,2.0,0.0,3.0,300.035,2101,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel3,gurobi_,0,51,715,11,11,104,1821,OPTIMAL,optimality proven,1.98393,1,0,2.0,2.0,0.0,2.0,1.87537,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jean,gurobi_,0,477,45782,66,80,1900,237863,OPTIMAL,optimality proven,464.247,1,0,2.0,2.0,0.0,4.0,300.015,14706,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel5,compact_,0,519,60327,47,47,1560,217736,OPTIMAL,optimality proven,1729.78,36,0,2.0,2.0,0.0,3.0,300.014,12150,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel4,compact_,0,165,6774,23,23,498,26969,OPTIMAL,optimality proven,37.637,0,0,2.0,2.0,0.0,3.0,33.205,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen5_5,gurobi_,0,345,44656,25,25,692,98233,OPTIMAL,optimality proven,283.594,1,0,2.0,2.0,0.0,2.0,217.263,40000,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huck,compact_,0,455,53611,49,74,1824,265997,OPTIMAL,optimality proven,359.451,0,0,2.0,2.0,0.0,4.0,300.006,15217,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel4,byp_,0,165,6774,23,23,-1,-1,OPTIMAL,optimality proven,37.4887,19,0,2.0,2.0,0.0,3.0,34.0108,40000,1,18,0,0,0.0,0,0,0,0.0,2,1,1,0,0,19,0,19,165,6774,23,23,1.42453,-1.0,0.0,0.0,0.160306,53455,53000,440,14,1,0,250,124,101,25,0,0,0.143208,0.00310805,0.0712794,0.0501366,0.0186843,0.0,0.00126654,0,0.0,918.0,804.0,105.0,7.0,1.0,0.0,29.0,13.0,8.0,7.0,0.0,0.0,0.17275,0.000193647,0.0166568,0.0426491,0.0199287,0.0933214
queen6_6,gurobi_,0,616,130684,36,36,1234,281388,OPTIMAL,optimality proven,732.077,1,0,2.0,2.0,0.0,2.0,300.02,8632,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen6_6,compact_,0,616,130684,36,36,1234,281388,OPTIMAL,optimality proven,433.125,0,0,2.0,2.0,0.0,2.0,300.033,9171,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myciel5,byp_,0,519,60327,47,47,-1,-1,OPTIMAL,optimality proven,502.715,49,0,2.0,2.0,0.0,3.0,300.019,11708,1,48,0,0,0.0,0,0,0,0.0,2,1,1,0,0,49,0,49,519,60327,47,47,1.36184,-1.0,0.0,0.0,4.7292,107984,107000,940,43,1,0,428,146,172,110,0,0,4.52771,0.0124129,2.04778,1.84656,0.620947,0.0,0.028987,0,0.0,3837.0,3419.0,387.0,29.0,1.0,0.0,92.0,27.0,25.0,40.0,0.0,0.0,3.89005,0.0018316,0.811946,2.60028,0.475995,0.0
queen7_7,byp_,0,1001,316252,49,49,-1,-1,TIME_EXCEEDED_PR,time limit reached in pricing,3600.0,1,0,-1.79769e+308,4.0,1.79769e+306,4.0,300.077,2368,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,2,0,2,1001,316252,49,49,1.55366,-1.0,0.0,0.0,50.8923,127195,126000,1140,54,1,0,493,145,218,130,0,0,48.8945,0.0146001,30.861,14.4204,3.59847,0.0,0.144921,0,0.0,34061.0,33522.0,510.0,26.0,2.0,1.0,171.0,70.0,70.0,30.0,1.0,0.0,7232.96,0.0135675,11.8254,16.2246,4.89195,7200.01
